target_name	program_name	stat	log2FC	pval	adj_pval
CDKN1A	54	0.65028	0.65028	5.242e-07	5.242e-06
CFB	14	0.22966	0.22966	0.00015965	0.0095792
CGN	35	-0.22187	-0.22187	0.00020615	0.012369
CHAMP1	36	-0.52881	-0.52881	8.0404e-05	0.0048242
CHD4	15	0.42685	0.42685	0.00016632	0.0019958
CHD4	17	0.5224	0.5224	6.8584e-06	0.00020575
CHD4	31	0.57583	0.57583	5.7532e-07	3.4519e-05
CHD4	38	0.44025	0.44025	0.0001008	0.001512
CHD4	57	-0.37095	-0.37095	7.2492e-05	0.0014498
CLPX	4	0.088369	0.088369	0.00016996	0.010198
CLTC	31	0.68574	0.68574	7.0423e-05	0.0021127
CLTC	41	-0.513	-0.513	0.00017473	0.0034945
CLTC	50	0.50621	0.50621	5.1979e-07	3.1187e-05
CLUH	26	0.49267	0.49267	6.5755e-05	0.0039453
CMIP	27	-0.37157	-0.37157	4.6836e-05	0.0014051
CMIP	37	0.38157	0.38157	3.0408e-05	0.0014051
COG2	30	0.42554	0.42554	1.3981e-05	0.00083886
COL4A1	30	0.52492	0.52492	0.00010726	0.0064358
COL4A2	30	0.52492	0.52492	0.00010726	0.0064358
COPZ1	30	0.59825	0.59825	0.00011116	0.0033348
COPZ1	7	-0.5647	-0.5647	2.0343e-05	0.0012206
CPNE1	41	-0.51364	-0.51364	6.5659e-05	0.0039395
CSF2	46	-0.075018	-0.075018	2.5051e-05	0.001503
CSNK1G1	34	-0.082107	-0.082107	0.00018704	0.011222
CTNNA1	15	0.83618	0.83618	1.0764e-09	6.4583e-08
CTNNA1	8	0.65484	0.65484	0.00021031	0.0063093
CTNND1	35	0.47528	0.47528	2.8079e-05	0.0016848
CTNND1	37	-0.48898	-0.48898	0.00011177	0.0033532
CTSA	9	0.20276	0.20276	1.3902e-05	0.00083415
CUL3	15	-1.1662	-1.1662	6.5795e-14	3.9477e-12
CUL3	18	0.88013	0.88013	3.8066e-05	0.001142
CUL3	41	-0.5908	-0.5908	8.4223e-05	0.0016845
DDX59	13	0.51176	0.51176	0.00013687	0.0082125
DDX6	13	-0.55305	-0.55305	8.3988e-05	0.0016798
DDX6	40	0.7657	0.7657	6.7771e-05	0.0016798
DDX6	59	-0.53171	-0.53171	5.9389e-07	3.5634e-05
DET1	29	-0.44908	-0.44908	0.00017315	0.0051944
DET1	44	-0.39826	-0.39826	0.00010972	0.0051944
DGCR8	57	-0.49196	-0.49196	4.7201e-05	0.0028321
DHX36	36	0.50759	0.50759	0.00018549	0.011129
DHX37	59	-0.6067	-0.6067	6.9048e-07	4.1429e-05
DHX40	13	0.49341	0.49341	0.00012229	0.0073376
DHX58	2	-0.4256	-0.4256	0.00020614	0.012368
UTP25	44	-0.04892	-0.04892	0.00011731	0.0070386
DNAJC5	13	0.41692	0.41692	8.152e-05	0.0048912
DNM2	28	0.71659	0.71659	4.119e-06	4.9428e-05
DNM2	29	-0.79305	-0.79305	4.7128e-08	9.4256e-07
DNM2	31	0.57265	0.57265	7.5279e-06	7.5279e-05
DNM2	47	-0.59276	-0.59276	4.3314e-07	6.4971e-06
DNM2	50	1.0782	1.0782	1.1862e-15	7.1174e-14
DNM2	57	-0.50395	-0.50395	2.7737e-05	0.00023775
DNM2	8	1.2211	1.2211	9.2588e-13	2.7776e-11
ECSCR	47	-0.52734	-0.52734	3.6772e-06	0.00022063
EDN1	58	0.19148	0.19148	4.2895e-05	0.0025737
EGFL7	1	0.4255	0.4255	5.6391e-07	2.8196e-06
EGFL7	12	0.035274	0.035274	0.00015714	0.00059209
EGFL7	15	1.2912	1.2912	2.6441e-42	1.5865e-40
EGFL7	2	-0.40926	-0.40926	0.00015789	0.00059209
EGFL7	23	-0.60695	-0.60695	2.6197e-10	2.2455e-09
EGFL7	28	0.6256	0.6256	2.0304e-08	1.3536e-07
EGFL7	34	-0.58917	-0.58917	6.6413e-11	9.9619e-10
EGFL7	35	-0.62535	-0.62535	1.2633e-11	3.79e-10
EGFL7	39	-0.37623	-0.37623	0.00015618	0.00059209
EGFL7	41	-0.46976	-0.46976	3.2656e-07	1.7813e-06
EGFL7	43	-0.52678	-0.52678	2.3979e-10	2.2455e-09
EGFL7	47	-0.51737	-0.51737	1.1407e-07	6.8445e-07
EGFL7	48	0.57293	0.57293	9.6489e-09	7.2367e-08
EGFL7	54	0.79375	0.79375	3.3837e-11	6.7674e-10
EGFL7	59	-0.44987	-0.44987	1.8461e-10	2.2153e-09
EGFL7	9	0.32969	0.32969	1.3826e-05	6.3813e-05
EHD4	10	0.48054	0.48054	0.00012135	0.0072808
EIF1	1	0.76631	0.76631	1.1387e-06	6.8321e-05
EIF2B2	59	0.55798	0.55798	8.7604e-07	5.2562e-05
EIF3E	15	-0.71023	-0.71023	1.8571e-07	1.1142e-05
EIF3E	27	-0.54409	-0.54409	2.7932e-05	0.00033518
EIF3E	36	0.47177	0.47177	2.2795e-05	0.00033518
EIF3E	41	-0.44571	-0.44571	1.0277e-05	0.0003083
EIF3E	59	0.33755	0.33755	1.8682e-05	0.00033518
EIF3M	13	0.62917	0.62917	2.4387e-06	3.6581e-05
EIF3M	15	-0.68252	-0.68252	1.3005e-06	2.6011e-05
EIF3M	19	-0.46809	-0.46809	0.00019261	0.001284
EIF3M	2	-0.18736	-0.18736	2.0884e-05	0.00020884
EIF3M	26	0.40612	0.40612	0.00011757	0.00088176
EIF3M	41	-0.50014	-0.50014	3.6348e-05	0.00031155
EIF3M	46	-0.64171	-0.64171	6.2316e-06	7.4779e-05
EIF3M	49	-0.47664	-0.47664	4.3269e-08	1.2981e-06
EIF3M	59	0.511	0.511	7.7214e-12	4.6328e-10
ELOF1	19	0.50828	0.50828	6.2407e-06	9.3611e-05
ELOF1	28	1.2425	1.2425	3.7175e-19	2.2305e-17
ELOF1	41	-0.46228	-0.46228	0.00018156	0.0015563
ELOF1	42	-0.58258	-0.58258	0.00011316	0.0011316
ELOF1	47	-0.80465	-0.80465	4.8407e-11	1.4522e-09
ELOF1	49	0.42638	0.42638	5.9727e-05	0.00071673
ELOF1	50	0.75762	0.75762	5.086e-09	1.0172e-07
EMSY	28	0.65122	0.65122	6.7735e-05	0.0040641
Enhancer-BP-etc-chr11-76299328-76299828	58	-0.3252	-0.3252	0.00016028	0.0096169
Enhancer-BP-etc-chr12-53441202-53441702	58	-0.35425	-0.35425	0.00016477	0.009886
Enhancer-BP-etc-chr15-41782454-41782954	38	0.032943	0.032943	0.00015566	0.0093398
Enhancer-BP-etc-chr2-43395808-43396308	18	0.28563	0.28563	0.0001662	0.0099722
Enhancer-BP-etc-chr2-56193119-56193619	49	0.32812	0.32812	0.00022477	0.013486
Enhancer-BP-etc-chr7-22765995-22766495	40	0.09781	0.09781	0.00020604	0.0055467
Enhancer-BP-etc-chr7-22765995-22766495	9	0.32253	0.32253	8.218e-05	0.0049308
EXOC7	9	-0.11624	-0.11624	8.5148e-05	0.0051089
EXOSC5	16	1.4816	1.4816	4.9453e-26	2.9672e-24
EXOSC5	34	0.62136	0.62136	1.5248e-08	4.5743e-07
FKBPL	13	0.53606	0.53606	0.00013995	0.0041984
FKBPL	31	0.39064	0.39064	6.8561e-05	0.0041137
FLCN	2	-0.44942	-0.44942	3.4411e-05	0.0020647
FLI1	48	-0.54139	-0.54139	6.6142e-05	0.0039685
FMNL1	34	-0.35503	-0.35503	9.3877e-05	0.0056326
FNDC3B	44	-0.60119	-0.60119	3.1228e-10	1.8737e-08
FOSL1	28	-0.86409	-0.86409	3.9065e-06	0.00012354
FOSL1	35	-0.69086	-0.69086	0.00013304	0.0019956
FOSL1	39	0.99096	0.99096	4.1182e-06	0.00012354
FOSL1	47	0.70353	0.70353	1.7714e-05	0.00035427
FOXJ2	27	-1.0719	-1.0719	2.4514e-15	1.4708e-13
FYCO1	19	-0.24596	-0.24596	0.00011829	0.0070975
GALNT2	59	-0.051318	-0.051318	0.00013989	0.0083933
GIT1	32	0.15579	0.15579	8.2872e-05	0.0049723
GNB1L	25	-0.61422	-0.61422	0.00010075	0.006045
GNL2	49	-0.7127	-0.7127	0.00014419	0.0086515
GOLPH3L	48	-0.49856	-0.49856	3.8494e-05	0.0023096
GOSR2	30	0.95995	0.95995	4.1208e-19	2.4725e-17
GOSR2	35	-0.3772	-0.3772	2.9283e-05	0.00087848
GOSR2	59	0.27726	0.27726	0.00017743	0.0035487
GPANK1	19	-0.55157	-0.55157	3.6378e-05	0.0010913
GPANK1	29	-0.79905	-0.79905	2.6005e-07	1.5603e-05
GRB14	53	-0.41823	-0.41823	6.9432e-05	0.0041659
GRB2	29	0.70793	0.70793	1.204e-05	0.00072238
GRIN2D	11	-0.14739	-0.14739	0.00020884	0.01253
GTF3A	44	-0.67965	-0.67965	8.9941e-13	5.3964e-11
GTF3C5	38	0.28146	0.28146	8.8841e-05	0.0053305
HAUS6	13	0.68252	0.68252	9.7235e-06	0.00058341
HBS1L	28	0.72369	0.72369	2.7292e-07	1.6375e-05
HBS1L	47	-0.52116	-0.52116	8.5322e-05	0.0025597
HDAC7	28	-1.0721	-1.0721	8.6899e-11	2.2664e-09
HDAC7	29	0.83087	0.83087	9.223e-06	0.00011068
HDAC7	35	-0.87678	-0.87678	8.8862e-09	1.3329e-07
HDAC7	39	1.7069	1.7069	2.5536e-18	1.5322e-16
HDAC7	47	0.93422	0.93422	1.1332e-10	2.2664e-09
HDAC7	48	0.67206	0.67206	7.7411e-05	0.00077411
HEATR6	29	0.66135	0.66135	5.9087e-05	0.0035452
HEG1	15	0.97822	0.97822	1.6282e-12	9.769e-11
HEG1	35	-0.52712	-0.52712	0.00014093	0.0021139
HEG1	39	-0.54423	-0.54423	5.1484e-05	0.0011916
HEG1	47	-0.48633	-0.48633	5.9579e-05	0.0011916
HINFP	56	-0.45532	-0.45532	0.00018581	0.011149
HIRIP3	16	0.66761	0.66761	4.3055e-09	2.5833e-07
HIRIP3	34	0.6407	0.6407	3.1097e-07	9.3291e-06
HMGCR	15	0.40791	0.40791	2.5067e-05	0.00037601
HMGCR	19	0.32877	0.32877	0.00016519	0.0016519
HMGCR	4	-0.39661	-0.39661	3.2488e-05	0.00038986
HMGCR	48	0.7897	0.7897	4.413e-15	2.6478e-13
HMGCR	56	-0.28019	-0.28019	1.984e-06	4.0496e-05
HMGCR	8	0.62517	0.62517	2.0248e-06	4.0496e-05
HOXA3	11	0.28215	0.28215	6.0914e-05	0.0034542
HOXA3	49	-0.4527	-0.4527	0.00011514	0.0034542
HSPA5	1	0.73439	0.73439	3.8317e-06	4.598e-05
HSPA5	17	-0.55972	-0.55972	7.6602e-05	0.00045961
HSPA5	19	-0.70158	-0.70158	7.742e-07	1.5484e-05
HSPA5	22	-0.43698	-0.43698	3.9675e-05	0.00029756
HSPA5	24	0.8054	0.8054	3.5873e-05	0.00029756
HSPA5	28	-0.81819	-0.81819	3.2738e-07	9.8215e-06
HSPA5	30	1.1172	1.1172	1.7232e-21	1.0339e-19
HSPA5	31	-0.069173	-0.069173	0.00010585	0.00055345
HSPA5	35	-0.45865	-0.45865	0.00011069	0.00055345
HSPA5	41	-0.51487	-0.51487	5.4186e-05	0.00036124
HSPA5	58	-0.52543	-0.52543	3.6861e-06	4.598e-05
HSPA5	59	0.36103	0.36103	2.4221e-05	0.00024221
HSPA5	60	-0.29318	-0.29318	0.00017016	0.00078536
HSPA8	15	-0.18097	-0.18097	2.5966e-05	0.0015579
ICAM1	41	-0.34077	-0.34077	0.00015113	0.0090678
IL13RA1	33	0.73111	0.73111	0.00017065	0.0051196
IL13RA1	44	-0.10187	-0.10187	0.00016321	0.0051196
IMPDH2	31	-0.65782	-0.65782	7.9608e-06	0.00047765
INO80E	16	0.66761	0.66761	4.3055e-09	2.5833e-07
INO80E	34	0.6407	0.6407	3.1097e-07	9.3291e-06
INTS1	37	0.78245	0.78245	5.8927e-05	0.0014741
INTS1	41	-0.68807	-0.68807	7.3706e-05	0.0014741
INTS1	46	0.72519	0.72519	4.4253e-05	0.0014741
INTS10	15	-0.68133	-0.68133	3.2967e-06	6.5934e-05
INTS10	31	0.96389	0.96389	4.824e-10	1.4472e-08
INTS10	41	-0.88575	-0.88575	4.5936e-11	2.7561e-09
INTS10	50	0.57773	0.57773	1.567e-05	0.00023505
IQGAP1	23	-0.48292	-0.48292	0.00014535	0.0043605
IQGAP1	47	-0.5023	-0.5023	5.6642e-05	0.0033985
ITGA5	37	-0.56783	-0.56783	0.00011075	0.0066451
ITGB1BP1	15	1.6272	1.6272	5.4082e-33	3.2449e-31
ITGB1BP1	28	0.92852	0.92852	2.1904e-08	3.2856e-07
ITGB1BP1	29	-0.64271	-0.64271	0.00010357	0.0010357
ITGB1BP1	47	-0.83824	-0.83824	8.0493e-09	1.6099e-07
ITGB1BP1	48	0.60392	0.60392	6.8627e-07	8.2352e-06
ITGB1BP1	8	1.3337	1.3337	6.243e-14	1.8729e-12
JUN	27	-0.41936	-0.41936	0.00010207	0.0020414
JUN	28	-0.63664	-0.63664	1.5174e-06	9.1045e-05
JUN	47	0.5008	0.5008	7.1614e-05	0.0020414
KAT2A	5	0.91008	0.91008	8.0084e-05	0.0024025
KAT2A	59	-0.79851	-0.79851	1.1411e-08	6.8466e-07
KAT5	2	0.75136	0.75136	4.2516e-05	0.002551
KDELR2	30	0.55738	0.55738	1.551e-10	9.3061e-09
VIRMA	1	0.62027	0.62027	5.466e-06	0.00016398
VIRMA	15	0.91897	0.91897	4.8682e-15	2.9209e-13
VIRMA	29	-0.67649	-0.67649	1.2481e-05	0.00022554
VIRMA	35	-0.59734	-0.59734	1.5036e-05	0.00022554
VIRMA	56	-0.43421	-0.43421	3.1027e-05	0.00037232
VIRMA	8	0.46944	0.46944	6.2358e-05	0.00062358
KRIT1	15	0.85155	0.85155	1.1395e-09	6.8369e-08
LAPTM4A	14	0.15845	0.15845	8.8613e-05	0.0053168
LDLR	4	-0.70822	-0.70822	8.1768e-06	0.00049061
LDLR	59	-0.45359	-0.45359	0.00016153	0.0048459
LOC730183	15	0.46147	0.46147	2.3846e-05	0.00028615
LOC730183	34	-0.45323	-0.45323	3.7068e-07	1.112e-05
LOC730183	38	-0.18161	-0.18161	1.6545e-05	0.00024817
LOC730183	46	-0.52449	-0.52449	1.0148e-08	6.0886e-07
LOC730183	48	0.30314	0.30314	1.7065e-06	3.413e-05
LOC730183	58	0.074642	0.074642	0.00011921	0.0011921
LRPPRC	43	-1.3559	-1.3559	3.957e-29	2.3742e-27
LRPPRC	49	0.45134	0.45134	0.00010207	0.0015311
LRPPRC	59	0.46742	0.46742	6.7204e-07	2.0161e-05
LRPPRC	60	-0.4411	-0.4411	1.9845e-06	3.9689e-05
LSM8	13	0.84562	0.84562	9.728e-07	5.8368e-05
LSM8	19	-0.64882	-0.64882	2.8411e-05	0.00085233
LTB	49	0.021067	0.021067	0.00014336	0.0086018
MAD2L1BP	39	0.0007986	0.0007986	0.00014832	0.0088992
MAP2K5	15	-0.73732	-0.73732	1.2491e-08	7.4947e-07
MAP2K5	27	-0.5536	-0.5536	0.00018251	0.0027376
MAP2K5	41	-0.62557	-0.62557	3.087e-06	6.174e-05
MAP2K5	48	-0.60812	-0.60812	2.5447e-06	6.174e-05
MAP2K7	4	-0.52004	-0.52004	7.7951e-05	0.0011693
MAP2K7	47	0.3558	0.3558	3.1087e-06	9.4246e-05
MAP2K7	50	-0.67022	-0.67022	4.7123e-06	9.4246e-05
MAP2K7	7	-0.3579	-0.3579	0.00022041	0.0026449
MAP2K7	8	0.15444	0.15444	3.2235e-06	9.4246e-05
MAP3K1	16	-0.18746	-0.18746	0.00014632	0.0087789
MAP3K11	50	-0.64735	-0.64735	0.00011399	0.0068392
MAPK7	15	-0.48784	-0.48784	3.0682e-06	0.00018409
MAPK7	41	-0.34117	-0.34117	0.00020566	0.0061699
MEAF6	15	1.2809	1.2809	5.4113e-17	3.2468e-15
MEAF6	2	0.76555	0.76555	0.00017549	0.0012109
MEAF6	27	0.59888	0.59888	6.1739e-05	0.00061739
MEAF6	37	-0.7332	-0.7332	1.2475e-05	0.00018713
MEAF6	47	-0.48602	-0.48602	9.7409e-05	0.00083493
MEAF6	48	0.66527	0.66527	2.7923e-05	0.00033507
MEAF6	55	-0.30176	-0.30176	0.00018164	0.0012109
MEAF6	56	-0.5265	-0.5265	8.3356e-06	0.00016671
MEAF6	8	1.334	1.334	8.535e-13	2.5605e-11
MED26	20	0.8912	0.8912	2.1413e-05	0.0012848
MED9	13	1.1147	1.1147	1.5574e-07	9.3446e-06
MED9	34	-0.86115	-0.86115	2.047e-05	0.00040941
MED9	36	0.85061	0.85061	8.6903e-07	2.6071e-05
TLNRD1	15	1.4924	1.4924	2.5405e-34	1.5243e-32
TLNRD1	28	0.49146	0.49146	9.6522e-05	0.00096522
TLNRD1	35	-0.87742	-0.87742	3.9478e-10	1.1843e-08
TLNRD1	39	-0.56576	-0.56576	5.4722e-07	6.5666e-06
TLNRD1	48	0.82074	0.82074	4.7854e-08	7.1781e-07
TLNRD1	8	1.0561	1.0561	7.1624e-09	1.4325e-07
METAP2	19	-0.2443	-0.2443	8.6723e-05	0.0052034
MFF	2	0.97272	0.97272	2.7297e-07	1.6378e-05
MGA	46	0.45174	0.45174	0.00014773	0.0088638
MMS22L	8	0.69119	0.69119	0.00021426	0.0085107
MNT	25	-0.46934	-0.46934	0.00012123	0.0018184
MNT	29	-0.52243	-0.52243	6.2249e-05	0.0017868
MNT	41	-0.47098	-0.47098	1.2631e-05	0.00075787
MNT	44	-0.39743	-0.39743	8.9339e-05	0.0017868
MORF4L1	39	0.57378	0.57378	1.1339e-06	6.8033e-05
MRPL3	43	0.61015	0.61015	6.0285e-10	3.6171e-08
MRPL33	43	0.69042	0.69042	3.7662e-10	2.2597e-08
MRPL34	26	0.37482	0.37482	0.00015786	0.0031572
MRPL34	30	-0.44256	-0.44256	8.9398e-06	0.00026819
MRPL34	43	0.58955	0.58955	2.3153e-11	1.3892e-09
MRPL34	46	-0.30219	-0.30219	0.00022664	0.0033996
MRPS18A	30	-0.46525	-0.46525	0.00012509	0.0037528
MRPS18A	43	0.53245	0.53245	2.8788e-08	1.7273e-06
MSN	15	0.38995	0.38995	0.00020065	0.012039
MT1B	38	0.21285	0.21285	0.00012183	0.0073096
MTF1	27	-0.45806	-0.45806	1.0588e-05	0.00063529
MTF1	28	-0.65114	-0.65114	2.5162e-05	0.00075486
MTPAP	43	-1.0349	-1.0349	1.4698e-19	8.8187e-18
NDUFA8	23	-0.47348	-0.47348	0.00013495	0.0080967
NEAT1	60	0.23435	0.23435	1.3843e-06	8.3058e-05
NECAP1	24	-0.10026	-0.10026	5.1956e-05	0.0031174
NEDD9	18	0.26566	0.26566	0.00019398	0.011639
NEK9	27	-1.2955	-1.2955	2.3723e-30	1.4234e-28
NEK9	34	-0.37931	-0.37931	0.00010017	0.003005
NELFCD	59	-0.42573	-0.42573	0.0001501	0.0090062
NELFE	59	-0.76724	-0.76724	6.9289e-05	0.0041573
NF1	26	-0.11097	-0.11097	0.00016888	0.010133
NFIB	2	-0.51623	-0.51623	8.2173e-06	0.00049304
NFIB	27	-0.56856	-0.56856	5.2411e-05	0.0015723
NGEF	9	-0.36472	-0.36472	0.00018001	0.0108
NLRX1	14	0.23758	0.23758	0.00013928	0.0083566
NME6	25	-0.44012	-0.44012	0.00019872	0.0029807
NME6	43	-0.50276	-0.50276	4.1246e-08	1.2374e-06
NME6	52	0.22815	0.22815	2.2957e-05	0.00045913
NME6	59	0.44278	0.44278	8.1349e-10	4.8809e-08
NOP2	1	-1.0897	-1.0897	3.1271e-05	0.0012853
NOP2	4	-1.0518	-1.0518	4.2844e-05	0.0012853
NR2F2	28	-0.68207	-0.68207	6.5846e-06	0.00039508
NRF1	41	-0.547	-0.547	2.8165e-05	0.0016899
NUDC	15	-0.70634	-0.70634	4.6936e-05	0.0028162
NUFIP2	29	0.6254	0.6254	6.4688e-06	0.00038813
NUP54	35	-0.57689	-0.57689	5.9182e-05	0.0035509
NUP93	36	0.56258	0.56258	4.7889e-05	0.0028733
OAZ3	12	-0.63958	-0.63958	1.6882e-05	0.0010129
OMA1	30	0.33504	0.33504	0.00013883	0.0083298
OR52A1	33	0.50041	0.50041	0.00018303	0.010982
OTUB2	49	0.2472	0.2472	6.036e-05	0.0036216
P4HTM	41	-0.52641	-0.52641	9.6198e-06	0.00057719
PAK2	31	1.0021	1.0021	3.555e-14	2.133e-12
PAN2	44	-0.55651	-0.55651	0.00016644	0.0099866
PARK7	3	0.19369	0.19369	6.3776e-05	0.0038266
PARS2	43	0.46964	0.46964	2.1967e-05	0.001318
PCMTD2	16	0.3257	0.3257	8.8079e-05	0.0052848
PDCD7	35	-0.65736	-0.65736	7.6704e-08	4.6022e-06
PDCD7	48	0.49615	0.49615	0.00016218	0.0048655
PFKFB4	37	0.513	0.513	3.1083e-05	0.001865
PHB	19	-0.85018	-0.85018	2.192e-12	1.3152e-10
PHB	36	0.50004	0.50004	3.8223e-05	0.00057334
PHB	4	-0.53943	-0.53943	2.0299e-05	0.00040598
PHB	46	-0.53626	-0.53626	7.4399e-05	0.00089278
PHB	59	0.52852	0.52852	5.832e-11	1.7496e-09
PIGU	57	0.32102	0.32102	7.3834e-05	0.00443
PIK3CA	29	0.58149	0.58149	3.569e-06	0.00021414
PIK3CA	59	0.48473	0.48473	2.6995e-05	0.0005399
PIK3CA	7	-0.51205	-0.51205	3.828e-05	0.00057421
PIK3CA	9	-0.38836	-0.38836	2.6493e-05	0.0005399
PIM1	58	0.11198	0.11198	0.00017512	0.010507
PLCG1	35	-0.52665	-0.52665	9.0794e-05	0.0027238
PLCG1	47	0.57522	0.57522	8.5278e-06	0.00051167
PLPP3	41	-0.28743	-0.28743	0.00021673	0.013004
PLRG1	13	1.079	1.079	1.0712e-15	3.2136e-14
PLRG1	19	-0.88627	-0.88627	1.721e-11	3.4421e-10
PLRG1	20	0.90368	0.90368	7.1521e-07	4.2913e-06
PLRG1	24	0.91334	0.91334	1.4099e-05	5.6394e-05
PLRG1	27	-0.86636	-0.86636	9.029e-09	1.3544e-07
PLRG1	28	-0.84171	-0.84171	3.7529e-06	1.7321e-05
PLRG1	31	-0.70717	-0.70717	1.1464e-05	4.9129e-05
PLRG1	34	-0.80141	-0.80141	3.3256e-08	3.3256e-07
PLRG1	36	1.4408	1.4408	1.3637e-28	8.1824e-27
PLRG1	39	0.57012	0.57012	2.1106e-06	1.0553e-05
PLRG1	41	-0.77453	-0.77453	3.6444e-07	2.4296e-06
PLRG1	44	-0.47298	-0.47298	0.0001034	0.00036495
PLRG1	49	0.65383	0.65383	1.4856e-06	8.1035e-06
PLRG1	58	-0.683	-0.683	2.0604e-07	1.5453e-06
PLRG1	6	1.0674	1.0674	1.2362e-08	1.4834e-07
PLRG1	8	0.77336	0.77336	9.3788e-05	0.00035171
PLRG1	9	-0.61701	-0.61701	1.6824e-07	1.4421e-06
PMVK	19	0.36288	0.36288	5.7384e-07	3.443e-05
PNPT1	30	-0.42797	-0.42797	3.9182e-06	0.00011755
PNPT1	43	1.2745	1.2745	1.5882e-33	9.5292e-32
PNPT1	46	-0.63169	-0.63169	1.3112e-05	0.00026223
POLA2	13	0.56858	0.56858	2.9822e-08	1.7893e-06
POLA2	20	0.78958	0.78958	0.00012602	0.0037807
POLG2	43	-0.44615	-0.44615	0.00010918	0.0065506
POLR2D	41	-0.79932	-0.79932	7.196e-05	0.0043176
POLR3D	46	-0.67011	-0.67011	1.6691e-05	0.0010015
POMP	44	-0.5849	-0.5849	3.2747e-05	0.0019648
PPP1R12B	20	0.55184	0.55184	0.00016515	0.0099091
PRELID1	1	0.8439	0.8439	5.3344e-07	3.2006e-05
